Location,Altitude (m),Proximity to Industry (km),Date,AQI,CO,NO,NO2,O3,SO2,PM2_5,PM10,NH3
Los Angeles,89,5.0,2024-08-10 11:32:04,3,647.54,8.94,122.01,0.04,16.93,18.09,29.87,5.76
Paris,35,3.0,2024-08-10 11:32:05,2,453.95,22.35,17.48,12.34,3.37,17.29,28.0,1.63
Tokyo,40,2.0,2024-08-10 11:32:08,3,337.12,0.48,36.67,107.29,27.66,8.41,10.7,1.05
Antananarivo,1276,0.5,2024-08-10 11:32:09,2,420.57,0.09,0.56,85.12,1.91,5.88,11.71,6.14
Nairobi,1795,1.0,2024-08-10 11:32:10,3,1001.36,0.28,9.94,77.25,15.26,25.32,49.72,18.75
Lima,1540,1.5,2024-08-10 11:32:11,2,427.25,0.03,28.1,32.19,20.27,16.57,31.71,2.28
