Location,Population,Density (people/km²),Urbanization (%),Average Income (USD),Education Level (% with Bachelor's or higher),Date,AQI,CO,NO,NO2,O3,SO2,PM2_5,PM10,NH3
Los Angeles,10039107,3276,89,60000,32,2024-08-10 11:32:14,3,647.54,8.94,122.01,0.04,16.93,18.09,29.87,5.76
Paris,2140526,21383,98,45000,29,2024-08-10 11:32:15,2,453.95,22.35,17.48,12.34,3.37,17.29,28.0,1.63
Tokyo,13929286,6169,100,55000,37,2024-08-10 11:32:16,3,337.12,0.48,36.67,107.29,27.66,8.41,10.7,1.05
Antananarivo,1391433,3097,69,1000,10,2024-08-10 11:32:18,2,420.57,0.09,0.56,85.12,1.91,5.88,11.71,6.14
Nairobi,4397073,6000,61,1500,12,2024-08-10 11:32:19,3,1001.36,0.28,9.94,77.25,15.26,25.32,49.72,18.75
Lima,9674755,3220,81,4500,15,2024-08-10 11:32:20,2,427.25,0.03,28.1,32.19,20.27,16.57,31.71,2.28
